trial_id,title,status,phase,enrollment,enrollment_type,study_type,sponsor,sponsor_class,eligibility_words,start_date,completion_date
NCT04005716,Study of Platinum Plus Etoposide With or Without Tislelizumab in Participants With Untreated Extensive-Stage Small Cell Lung Cancer,COMPLETED,PHASE3,457.0,,INTERVENTIONAL,BeiGene,,235,2019-07-22,
NCT02090816,Combined Liver and Right Lung Resection for Colorectal Metastases by Means of J-shaped Thoracophrenolaparotomy,COMPLETED,,10.0,,OBSERVATIONAL,University of Milan,,186,2004-09,
NCT04901416,Safety and Efficacy of Allogeneic NK Cell Infusions in Patients With Relapsed/Refractory AML and High Risk MDS,COMPLETED,PHASE1,8.0,,INTERVENTIONAL,Coeptis Therapeutics,,744,2021-12-15,
NCT05253716,Immunonutritional Supplement After Total Gastrectomy in Patients With Stage III Gastric Cancer,RECRUITING,NA,696.0,,INTERVENTIONAL,"Jinling Hospital, China",,170,2022-08-01,
NCT02315716,Carfilzomib/Cyclophosphamide/Dexamethasone with Maintenance Carfilzomib in Multiple Myeloma,ACTIVE_NOT_RECRUITING,PHASE2,281.0,,INTERVENTIONAL,"University College, London",,762,2015-06-16,
NCT05112016,Long-term Cohort Study of Mesorectal Excision for Rectal Cancer,RECRUITING,,250.0,,OBSERVATIONAL,Kantonsspital Winterthur KSW,,56,2007-01-01,
NCT00402116,Phase 1/2 Study of Enzastaurin in Newly Diagnosed Glioblastoma Multiforme (GBM) and Gliosarcoma (GS) Patients,COMPLETED,"PHASE1, PHASE2",72.0,,INTERVENTIONAL,Eli Lilly and Company,,199,2006-09,
NCT00747916,"Safety, Efficacy, and Side Effects Study of Interventional Cryotherapy in the Pleural Space(""ICE PLS"")",TERMINATED,PHASE4,3.0,,INTERVENTIONAL,"CSA Medical, Inc.",,186,2008-08,
NCT03206216,Feasibility Study of New Method of Diagnostic and Prediction of Painful CIPN,TERMINATED,NA,1.0,,INTERVENTIONAL,Stanford University,,267,2017-08-04,
NCT01836406,Effect of Ketorolac and Remote Ischemic Preconditioning on Renal Ischemia-reperfusion Injury in Patients Undergoing Partial Nephrectomy,COMPLETED,NA,16.0,,INTERVENTIONAL,Yonsei University,,41,2012-12,
NCT00150657,Study of Carboplatin/Gemcitabine Plus Bevacizumab in Advanced Lung Cancer,UNKNOWN,PHASE2,45.0,,INTERVENTIONAL,St. John Providence Health System,,111,2004-11,
NCT05654077,EBV CAR-T Cells for Nasopharyngeal Carcinoma,UNKNOWN,EARLY_PHASE1,24.0,,INTERVENTIONAL,The Affiliated Hospital of Xuzhou Medical University,,490,2022-01-18,
NCT05683977,A French Real-life Study: EvaluatioN of durvALumab Utilization and Effectiveness for First Line Extensive Stage Small Cell Lung Cancer.,ACTIVE_NOT_RECRUITING,,254.0,,OBSERVATIONAL,AstraZeneca,,94,2022-11-14,
NCT01482377,A Study of RO5479599 Alone or in Combination With Cetuximab or Erlotinib in Participants With Metastatic and/or Locally Advanced Malignant Human Epidermal Growth Factor Receptor (HER3) Expressing Solid Tumors of Epithelial Cell Origin,COMPLETED,PHASE1,145.0,,INTERVENTIONAL,Hoffmann-La Roche,,292,2011-12,
NCT03015701,S9005 Mifepristone in Meningioma,COMPLETED,PHASE3,193.0,,INTERVENTIONAL,SWOG Cancer Research Network,,520,1992-08,
NCT00628901,A Prospective Study Comparing Contour SE™ Microspheres to Embosphere® Microspheres for Treating Symptomatic Uterine Fibroids With Uterine Fibroid Embolization (UFE),COMPLETED,PHASE4,60.0,,INTERVENTIONAL,Boston Scientific Corporation,,193,2006-01,
NCT06978075,Artificial Intelligence Combined With 3D-Preformed Chest Wall Defection Reconstruction System in Chest Wall Tumor Surgery,NOT_YET_RECRUITING,NA,50.0,,INTERVENTIONAL,Wu Weiming,,159,2025-07-01,
NCT03722875,SHR-1210 Plus Apatinib in Patients With Hepatocellular Carcinoma After Surgery,UNKNOWN,NA,45.0,,INTERVENTIONAL,Shanghai Zhongshan Hospital,,242,2018-12-01,
